¡marcarlo!,Lo que se dice a la persona con la pizarra para que chasquee los palos juntos.
Lámpara Excitadora,Lámpara especial en el proyector utilizada para la reproducción de sonido óptico.
Landmark Film,Película revolucionaria debido a su artesanía técnica o artística.
Lap Dissolve,Tipo de transición entre dos escenas en la que la primera escena se cierra con un desvanecimiento y la siguiente se abre con otro desvanecimiento.
Lapso De Tiempo,Grabación de fotograma único utilizada para acelerar dramáticamente la acción a lo largo del tiempo.
Latitud,Grado en que una película puede tolerar subexposición o sobreexposición.
Lavalier (microphone),"Tipo de micrófono pequeño y omnidireccional utilizado para grabar diálogo, a menudo inalámbrico y lo suficientemente pequeño como para ser fijado a un actor."
Lead Role,Papel más importante y principal en una película.
Leader De Emulsión,Tipo de líder de película que se puede unir con cemento.
Leader De Plástico,Tipo de líder de película hecho de plástico y utilizado en copias de películas.
Leader De S.M.P.T.E.,Término alternativo para líder de la academia.
Lectura De Luz Incidente,Medición de la cantidad de luz que golpea un sujeto utilizando un fotómetro equipado con una esfera blanca.
Legs,"Término que describe una película con una taquilla fuerte y rentable, con una capacidad de atracción de audiencia más allá del fin de semana de estreno."
Leitmotif,"Elemento o tema recurrente asociado intencionalmente con una persona, idea, ambiente o acción en una película."
Lens,Pieza de vidrio óptico en una cámara a través de la cual pasa la luz y se enfoca la imagen antes de llegar a la película.
Lente Angular,Tipo de lente con una longitud focal menor que proporciona una vista extendida de un área grande.
Lente De Longitud Focal Fija,Lente que tiene una sola longitud focal.
Lente Fija,"Lente con una sola longitud focal, en contraposición a una lente zoom."
Lente Larga,Tipo de lente con una distancia focal mayor que proporciona una vista que magnifica un área pequeña.
Lente Macro,Lente que se puede usar para acercarse extremadamente al sujeto.
Lente Normal,Lente que proporciona una imagen con una perspectiva visual similar a la del ojo humano.
Lente Zoom,Lente con una longitud focal variable que permite cambiar el encuadre sin cambiar la lente.
Letterboxing (or Letterboxed),Técnica para mostrar una película en una pantalla de televisión con franjas negras arriba y abajo para emular el formato panorámico.
Liberación Rápida,Dispositivo de cierre para montar y desmontar rápidamente la cámara del trípode.
Library Shot,"Toma de archivo, a menudo poco imaginativa o común."
Lighting,Iluminación de una escena y manipulación de la luz y las sombras por parte del director de fotografía.
Limpiador Ultrasónico,Máquina de limpieza utilizada en laboratorios para limpiar negativos antes de la impresión o la transferencia a video.
Line Producer,Productor de cine responsable de las operaciones diarias y el presupuesto de una filmación específica en locación.
Línea De Fotograma,Pequeña franja de espacio entre fotogramas.
Línea De La Vista,Dirección a la que un actor debe mirar fuera de la pantalla para que coincida con un ángulo inverso o una toma de punto de vista.
Lines,Diálogo hablado por un único intérprete.
Lip Sync,"Sincronización labial, técnica para que el diálogo en una película coincida con el movimiento de los labios de los actores."
Location (o On Location),"Propiedades o lugares utilizados para filmar fuera del estudio, set o plató, a menudo para aumentar la autenticidad y el realismo de la apariencia de la película."
Location Sound,Grabación del sonido ambiental en el lugar de rodaje para mejorar el realismo de la película.
Locked-down Shot,"Toma de cámara en la que esta permanece inmóvil mientras ocurre algo fuera de la pantalla, generalmente para crear suspenso."
Logline,"Resumen introductorio corto de una película, generalmente encontrado en la primera página del guion, utilizado para vender la idea de la película."
Long Take (o Lengthy Take),Toma de larga duración en una película.
Long-shot (ls),Vista de una cámara de un objeto o personaje desde una considerable distancia para que aparezca relativamente pequeño en el encuadre.
Longitud Focal,Indica qué tan amplia o estrecha será la vista proporcionada por la lente.
Loop,Tira de película unida de principio a fin para su reproducción continua.
Looping,Proceso en el que se graba diálogo en el estudio durante la postproducción para sincronizar la voz de los actores con los movimientos de los labios en pantalla.
Lote De Emulsión,Serie de números en la lata de película que identifica un conjunto particular de película.
Low-angle Shot,"Toma de cámara en la que el sujeto se filma desde abajo hacia arriba, para hacer que aparezca más grande e imponente."
Luces De Casa,Iluminación utilizada en una copia de película sin correcciones de exposición o color.
Luces De Cronometraje O Luces De Impresión,Lámparas utilizadas en el proceso de impresión de una película.
Luz De Cuarzo,Tipo de luz brillante que utiliza un filamento de tungsteno contenido en un envoltorio de cuarzo.
M.o.s.,"Toma, secuencia o película filmada sin sonido, que se agregará más tarde en la postproducción."
M&e,"Música y efectos, una pista de audio utilizada en la postproducción para la doblaje de películas."
Madcap Comedy,"Comedia frenética, salvaje y temeraria, generalmente con mucho humor físico, acción cómica y personajes locos."
Made-for-TV,"Películas de larga duración filmadas específicamente para la televisión, a menudo con un estilo intermedio entre un drama corto y un estreno cinematográfico."
Mag,Abreviatura de revista de película o pista de mag.
Magic Hour,"Momento óptimo para filmar escenas románticas o mágicas debido a las condiciones de iluminación ""cálida"" y ""suave"", caracterizadas por un tono dorado-anaranjado y sombras suavizadas."
Mainstream,"Película realizada en hollywood con estrellas principales, grandes presupuestos y mucha publicidad, opuesto al cine independiente."
Majors,"Se refiere a los principales estudios cinematográficos de hollywood en la actualidad (por ejemplo, dreamworks skg, mgm/ua, paramount pictures, etc.)."
Makeup,"Materiales utilizados para preparar a los actores para sus respectivos roles ante la cámara, que van desde el maquillaje facial hasta elaborados disfraces y transformaciones."
Making Of...,Documental especializado que se centra en la producción de una película específica.
Mangos De Fotograma,Fotogramas adicionales al principio y al final de cada toma que se utilizan principalmente en la impresión óptica para asegurar la estabilidad de la imagen.
Mark,Marca de sincronización o indicación en el suelo para los actores sobre dónde deben estar para la toma.
Match Cut (o Corte a la Coincidencia),"Técnica de transición que une dos tomas relacionadas por paralelismos visuales, auditivos o metafóricos."
Matte Shot,Proceso óptico que combina dos tomas (normalmente actores en primer plano y el entorno en segundo plano) en una sola impresión a través de una doble exposición.
McGuffin (o Macguffin),"Elemento de la trama que impulsa la lógica o acción del argumento de la película, pero que a menudo resulta ser insignificante."
Medio Apple,Técnica de edición que consiste en dividir la pantalla en dos para comparar tomas.
Medium Shot,"Toma de cámara convencional filmada desde una distancia media, generalmente mostrando a una figura humana desde la cintura hacia arriba."
Megaplex (o Multiplex),"Cadenas de cines que proyectan más de una película a la vez, con los megaplexes teniendo 16 o más pantallas."
Melodrama,"Película caracterizada por tramas expresivas con emociones fuertes, a menudo con elementos de patetismo, enfermedad y dificultades."
Mesa De Edición,"Equipo utilizado para editar películas, que consta de una pantalla central y placas para la película."
Metaphor,"Dispositivo fílmico en el que una escena, personaje, objeto o acción se asocia o interpreta como una representación implícita de algo más."
Method Acting,"Estilo de actuación basado en experiencias y emociones personales del actor, popularizado por lee strasberg."
Mezcla,"Proceso de combinar pistas de sonido en una sola, con todos los sonidos mezclados juntos a sus volúmenes correctos."
Mezcla Maestra,"Copia de la mezcla de sonido en stock, a menudo solicitada además de la pista óptica."
Mezclador,Dispositivo o persona que mezcla sonidos de múltiples fuentes.
Midnight Movies,"Películas contraculturales exhibidas en cines durante la noche, a menudo con participación del público."
